sample_id,slope_angle,slope_height,rock_type,fracture_density,rainfall_24h,days_since_blast,risk_score,risk_percentage,risk_category,risk_message,timestamp
1,73.3,459.5,Granite,Low,13.0,28,0.277141,27.71,Low,Safe operations,2025-09-28T00:33:42.904318
2,42.0,578.5,Granite,High,9.2,0,0.379113,37.91,Low,Safe operations,2025-09-28T00:33:42.904382
3,61.4,736.6,Granite,Medium,14.7,9,0.383857,38.39,Low,Safe operations,2025-09-28T00:33:42.905147
4,46.0,796.6,Limestone,Low,3.6,16,0.321967,32.2,Low,Safe operations,2025-09-28T00:33:42.905241
5,41.2,340.6,Sandstone,Medium,8.2,1,0.348836,34.88,Low,Safe operations,2025-09-28T00:33:42.905276
6,72.9,459.3,Shale,Low,0.7,20,0.410125,41.01,Medium,Caution advised,2025-09-28T00:33:42.905308
7,58.9,587.8,Sandstone,Medium,2.5,0,0.488609,48.86,Medium,Caution advised,2025-09-28T00:33:42.905337
8,47.0,181.5,Sandstone,Medium,57.9,16,0.331695,33.17,Low,Safe operations,2025-09-28T00:33:42.905386
9,42.2,363.8,Sandstone,Medium,38.0,5,0.357172,35.72,Low,Safe operations,2025-09-28T00:33:42.905416
10,48.3,264.2,Sandstone,Low,3.0,21,0.212339,21.23,Low,Safe operations,2025-09-28T00:33:42.905444
11,57.8,337.3,Limestone,High,1.2,3,0.361743,36.17,Low,Safe operations,2025-09-28T00:33:42.905472
12,68.3,555.0,Sandstone,Low,55.2,11,0.470683,47.07,Medium,Caution advised,2025-09-28T00:33:42.905501
13,49.5,250.2,Limestone,Medium,8.0,5,0.251338,25.13,Low,Safe operations,2025-09-28T00:33:42.905532
14,51.8,363.1,Limestone,Medium,14.6,11,0.247378,24.74,Low,Safe operations,2025-09-28T00:33:42.905559
15,50.5,262.9,Sandstone,Medium,4.2,23,0.264214,26.42,Low,Safe operations,2025-09-28T00:33:42.905597
16,58.6,443.5,Sandstone,Low,3.6,9,0.316268,31.63,Low,Safe operations,2025-09-28T00:33:42.905625
17,62.2,281.6,Sandstone,Medium,0.6,8,0.340921,34.09,Low,Safe operations,2025-09-28T00:33:42.905654
18,82.3,194.1,Shale,Low,1.7,14,0.404936,40.49,Medium,Caution advised,2025-09-28T00:33:42.905715
19,63.1,444.3,Limestone,Low,13.5,27,0.259721,25.97,Low,Safe operations,2025-09-28T00:33:42.905745
20,52.2,564.0,Shale,High,1.3,3,0.509451,50.95,Medium,Caution advised,2025-09-28T00:33:42.905773
21,53.0,590.8,Limestone,Medium,6.7,8,0.336332,33.63,Low,Safe operations,2025-09-28T00:33:42.905800
22,48.3,511.3,Sandstone,High,8.5,2,0.450945,45.09,Medium,Caution advised,2025-09-28T00:33:42.905827
23,48.8,592.6,Limestone,High,5.3,19,0.339693,33.97,Low,Safe operations,2025-09-28T00:33:42.905855
24,46.8,348.3,Granite,Medium,14.1,25,0.178146,17.81,Low,Safe operations,2025-09-28T00:33:42.905881
25,66.2,365.8,Sandstone,Medium,21.1,0,0.544701,54.47,Medium,Caution advised,2025-09-28T00:33:42.905909
26,45.9,577.7,Sandstone,Medium,9.2,6,0.386274,38.63,Low,Safe operations,2025-09-28T00:33:42.905937
27,50.3,547.0,Granite,Medium,4.4,22,0.243273,24.33,Low,Safe operations,2025-09-28T00:33:42.905964
28,72.0,425.5,Sandstone,Medium,57.3,6,0.534018,53.4,Medium,Caution advised,2025-09-28T00:33:42.905992
29,32.9,593.6,Sandstone,High,0.6,15,0.369516,36.95,Low,Safe operations,2025-09-28T00:33:42.906039
30,58.3,325.5,Sandstone,Low,8.0,27,0.262891,26.29,Low,Safe operations,2025-09-28T00:33:42.906067
31,44.6,500.1,Granite,Medium,11.2,1,0.304116,30.41,Low,Safe operations,2025-09-28T00:33:42.906095
32,69.3,393.1,Granite,Low,8.2,12,0.237993,23.8,Low,Safe operations,2025-09-28T00:33:42.906124
33,62.3,480.0,Limestone,Medium,8.5,0,0.409177,40.92,Medium,Caution advised,2025-09-28T00:33:42.906151
34,43.2,131.1,Limestone,Low,7.1,4,0.180054,18.01,Low,Safe operations,2025-09-28T00:33:42.906196
35,61.6,265.9,Limestone,Medium,12.8,8,0.279337,27.93,Low,Safe operations,2025-09-28T00:33:42.906224
36,73.0,553.5,Sandstone,High,8.6,4,0.634179,63.42,Medium,Caution advised,2025-09-28T00:33:42.906252
37,73.0,586.4,Shale,Low,1.5,2,0.612239,61.22,Medium,Caution advised,2025-09-28T00:33:42.906278
38,51.8,384.9,Sandstone,Medium,7.4,22,0.298807,29.88,Low,Safe operations,2025-09-28T00:33:42.906304
39,70.7,531.2,Limestone,Low,59.8,22,0.420293,42.03,Medium,Caution advised,2025-09-28T00:33:42.906331
40,60.3,446.7,Limestone,Medium,44.4,24,0.342739,34.27,Low,Safe operations,2025-09-28T00:33:42.906357
41,51.2,386.2,Granite,High,4.8,24,0.241365,24.14,Low,Safe operations,2025-09-28T00:33:42.906383
42,62.1,352.6,Limestone,Medium,54.7,1,0.442233,44.22,Medium,Caution advised,2025-09-28T00:33:42.906410
43,74.9,173.7,Granite,Low,37.5,4,0.314428,31.44,Low,Safe operations,2025-09-28T00:33:42.906454
44,53.9,301.3,Limestone,Low,12.9,21,0.183125,18.31,Low,Safe operations,2025-09-28T00:33:42.906481
45,74.5,381.7,Granite,High,6.4,11,0.358147,35.81,Low,Safe operations,2025-09-28T00:33:42.906508
46,48.9,450.0,Sandstone,High,52.0,0,0.527092,52.71,Medium,Caution advised,2025-09-28T00:33:42.906535
47,50.0,328.3,Shale,Low,32.8,15,0.301771,30.18,Low,Safe operations,2025-09-28T00:33:42.906561
48,48.9,276.4,Granite,Low,14.9,7,0.157973,15.8,Low,Safe operations,2025-09-28T00:33:42.906599
49,41.6,582.6,Shale,Medium,4.2,1,0.462427,46.24,Medium,Caution advised,2025-09-28T00:33:42.906639
50,48.0,376.1,Limestone,Medium,4.2,17,0.223746,22.37,Low,Safe operations,2025-09-28T00:33:42.906668
51,45.7,537.9,Shale,Medium,6.3,22,0.367406,36.74,Low,Safe operations,2025-09-28T00:33:42.906695
52,45.8,522.2,Limestone,High,11.2,21,0.309741,30.97,Low,Safe operations,2025-09-28T00:33:42.906723
53,56.4,345.7,Granite,High,59.9,9,0.369705,36.97,Low,Safe operations,2025-09-28T00:33:42.906752
54,66.5,334.4,Limestone,Medium,3.1,12,0.291593,29.16,Low,Safe operations,2025-09-28T00:33:42.906782
55,52.5,752.0,Sandstone,Medium,37.2,21,0.466157,46.62,Medium,Caution advised,2025-09-28T00:33:42.906831
56,41.0,467.1,Sandstone,Low,0.2,6,0.290967,29.1,Low,Safe operations,2025-09-28T00:33:42.906861
57,59.4,172.6,Sandstone,Medium,12.9,8,0.313699,31.37,Low,Safe operations,2025-09-28T00:33:42.906912
58,69.5,273.2,Granite,Medium,3.1,15,0.24754,24.75,Low,Safe operations,2025-09-28T00:33:42.906944
59,30.6,494.2,Granite,Medium,13.1,22,0.194364,19.44,Low,Safe operations,2025-09-28T00:33:42.906991
60,47.8,370.8,Limestone,Low,8.0,18,0.178057,17.81,Low,Safe operations,2025-09-28T00:33:42.907018
61,57.6,263.8,Sandstone,Medium,13.1,21,0.294267,29.43,Low,Safe operations,2025-09-28T00:33:42.907045
62,68.2,314.6,Limestone,Medium,9.3,28,0.292336,29.23,Low,Safe operations,2025-09-28T00:33:42.907072
63,42.2,113.3,Limestone,Medium,6.7,19,0.160952,16.1,Low,Safe operations,2025-09-28T00:33:42.907116
64,65.8,447.4,Sandstone,Low,3.5,29,0.328992,32.9,Low,Safe operations,2025-09-28T00:33:42.907144
65,67.6,280.4,Limestone,Medium,38.2,3,0.389234,38.92,Low,Safe operations,2025-09-28T00:33:42.907171
66,60.0,595.3,Sandstone,Low,2.3,3,0.420519,42.05,Medium,Caution advised,2025-09-28T00:33:42.907201
67,43.1,269.5,Sandstone,Low,10.5,10,0.218238,21.82,Low,Safe operations,2025-09-28T00:33:42.907228
68,73.9,536.0,Limestone,Low,13.9,12,0.35175,35.18,Low,Safe operations,2025-09-28T00:33:42.907254
69,69.4,588.8,Sandstone,Low,52.7,10,0.486062,48.61,Medium,Caution advised,2025-09-28T00:33:42.907281
70,45.4,436.4,Granite,Medium,1.0,17,0.193281,19.33,Low,Safe operations,2025-09-28T00:33:42.907308
71,43.1,100.3,Limestone,Medium,13.9,16,0.166504,16.65,Low,Safe operations,2025-09-28T00:33:42.907351
72,72.7,321.8,Limestone,High,30.6,9,0.558326,55.83,Medium,Caution advised,2025-09-28T00:33:42.907379
73,45.7,535.1,Sandstone,Medium,13.2,12,0.335671,33.57,Low,Safe operations,2025-09-28T00:33:42.907406
74,65.0,468.4,Limestone,Medium,5.3,6,0.360022,36.0,Low,Safe operations,2025-09-28T00:33:42.907433
75,71.7,290.9,Shale,Medium,2.1,5,0.535171,53.52,Medium,Caution advised,2025-09-28T00:33:42.907460
76,71.3,303.1,Limestone,Low,26.4,14,0.278171,27.82,Low,Safe operations,2025-09-28T00:33:42.907487
77,68.7,712.7,Limestone,Medium,6.1,23,0.423615,42.36,Medium,Caution advised,2025-09-28T00:33:42.907529
78,59.0,371.0,Granite,High,6.0,18,0.266703,26.67,Low,Safe operations,2025-09-28T00:33:42.907558
79,71.9,725.6,Shale,High,10.4,12,0.598489,59.85,Medium,Caution advised,2025-09-28T00:33:42.907615
80,67.0,274.1,Granite,Low,38.1,1,0.319239,31.92,Low,Safe operations,2025-09-28T00:33:42.907645
81,44.4,554.5,Limestone,Medium,0.8,24,0.268711,26.87,Low,Safe operations,2025-09-28T00:33:42.907673
82,61.1,786.4,Limestone,Medium,40.6,23,0.461737,46.17,Medium,Caution advised,2025-09-28T00:33:42.907718
83,60.2,261.9,Limestone,High,3.3,0,0.385272,38.53,Low,Safe operations,2025-09-28T00:33:42.907748
84,73.6,141.5,Granite,Medium,6.0,28,0.249803,24.98,Low,Safe operations,2025-09-28T00:33:42.907792
85,47.2,262.8,Limestone,Medium,11.6,6,0.240706,24.07,Low,Safe operations,2025-09-28T00:33:42.907819
86,56.8,517.9,Granite,Medium,11.3,2,0.338901,33.89,Low,Safe operations,2025-09-28T00:33:42.907846
87,54.3,115.6,Limestone,Medium,2.9,12,0.200458,20.05,Low,Safe operations,2025-09-28T00:33:42.907888
88,68.0,478.5,Limestone,Low,10.8,15,0.292624,29.26,Low,Safe operations,2025-09-28T00:33:42.907915
89,73.1,732.4,Granite,Low,0.4,3,0.438952,43.9,Medium,Caution advised,2025-09-28T00:33:42.907956
90,64.6,468.7,Limestone,High,0.5,9,0.380789,38.08,Low,Safe operations,2025-09-28T00:33:42.907983
91,59.3,353.1,Shale,High,13.0,18,0.407086,40.71,Medium,Caution advised,2025-09-28T00:33:42.908010
92,46.4,429.4,Sandstone,Medium,3.3,18,0.293986,29.4,Low,Safe operations,2025-09-28T00:33:42.908036
93,58.4,345.3,Granite,High,8.6,0,0.358613,35.86,Low,Safe operations,2025-09-28T00:33:42.908064
94,57.4,287.3,Granite,Medium,11.0,4,0.25743,25.74,Low,Safe operations,2025-09-28T00:33:42.908093
95,46.1,396.6,Limestone,Medium,2.5,23,0.223844,22.38,Low,Safe operations,2025-09-28T00:33:42.908119
96,33.9,374.5,Sandstone,Medium,7.1,26,0.257312,25.73,Low,Safe operations,2025-09-28T00:33:42.908160
97,56.9,438.9,Granite,High,38.9,6,0.361665,36.17,Low,Safe operations,2025-09-28T00:33:42.908187
98,42.6,423.4,Sandstone,Medium,12.3,16,0.287133,28.71,Low,Safe operations,2025-09-28T00:33:42.908212
99,40.2,131.5,Granite,High,2.8,28,0.162388,16.24,Low,Safe operations,2025-09-28T00:33:42.908254
100,62.4,503.4,Sandstone,High,52.3,1,0.665345,66.53,High,Enhanced monitoring needed,2025-09-28T00:33:42.908282
101,33.5,415.6,Limestone,Low,17.3,22,0.170396,17.04,Low,Safe operations,2025-09-28T00:33:42.908324
102,41.9,432.9,Sandstone,Medium,8.4,7,0.321532,32.15,Low,Safe operations,2025-09-28T00:33:42.908351
103,51.9,272.9,Limestone,Medium,50.6,14,0.28153,28.15,Low,Safe operations,2025-09-28T00:33:42.908378
104,54.6,596.6,Granite,Low,14.0,3,0.304871,30.49,Low,Safe operations,2025-09-28T00:33:42.908404
105,80.4,555.8,Shale,High,6.3,21,0.578694,57.87,Medium,Caution advised,2025-09-28T00:33:42.908447
106,52.4,353.7,Limestone,Low,14.8,21,0.192212,19.22,Low,Safe operations,2025-09-28T00:33:42.908474
107,44.4,529.3,Limestone,Medium,50.0,6,0.3728,37.28,Low,Safe operations,2025-09-28T00:33:42.908501
108,74.7,580.0,Sandstone,Medium,3.5,1,0.635478,63.55,Medium,Caution advised,2025-09-28T00:33:42.908527
109,34.8,196.9,Sandstone,Medium,7.7,21,0.2196,21.96,Low,Safe operations,2025-09-28T00:33:42.908578
110,68.6,328.3,Limestone,Medium,1.4,7,0.330438,33.04,Low,Safe operations,2025-09-28T00:33:42.908606
111,56.7,185.2,Sandstone,Medium,6.1,12,0.278082,27.81,Low,Safe operations,2025-09-28T00:33:42.908647
112,41.7,586.7,Granite,High,32.7,23,0.308791,30.88,Low,Safe operations,2025-09-28T00:33:42.908674
113,52.2,448.0,Limestone,High,56.3,13,0.391617,39.16,Low,Safe operations,2025-09-28T00:33:42.908701
114,48.4,287.0,Sandstone,Low,46.6,14,0.277688,27.77,Low,Safe operations,2025-09-28T00:33:42.908727
115,51.7,306.3,Sandstone,High,0.1,2,0.401521,40.15,Medium,Caution advised,2025-09-28T00:33:42.908753
116,62.1,471.9,Limestone,High,11.4,6,0.39542,39.54,Low,Safe operations,2025-09-28T00:33:42.908779
117,62.1,285.9,Shale,Medium,4.5,26,0.354215,35.42,Low,Safe operations,2025-09-28T00:33:42.908806
